product_brand,revenue,gross_product_profit,quantity_sold,products,gross_margin_pct,revenue_share_pct
Faux Products,20027.47,11933.71,9821,19,59.58670765703305,1.134992513996968
Consolidated,19457.09,11838.02,9806,19,60.84167776373548,1.102668060127678
Bird Call,19141.16,11343.25,9944,19,59.261037471083256,1.0847637424606407
Steady,17680.56,10217.9,10914,19,57.791721529182325,1.0019889303678515
Red Spade,16504.74,9828.44,7044,14,59.54919617031228,0.9353531097770371
Moms,16411.63,9774.5,8324,14,59.55837415296348,0.9300763996894297
American,16359.81,9818.7,7423,14,60.017200688761065,0.9271396676870686
Lake,15680.42,9184.7,7425,14,58.57432390203834,0.8886374223168646
Great,14388.66,8364.19,5196,9,58.130430491790065,0.8154310747412236
Cutting Edge,14071.11,8216.84,7351,14,58.39510884358092,0.7974349487792456
Fabulous,13684.98,8510.39,6116,11,62.187814669805874,0.7755522716647798
Excellent,13311.41,8201.460000000001,6085,11,61.61225595184884,0.7543813921950391
Gulf Coast,11617.74,6848.63,4246,8,58.9497613133019,0.658398086706066
Portsmouth,11566.72,6699.92,4348,8,57.92411331820949,0.6555066921333054
Skinner,11509.48,6894.11,5861,11,59.899404664676425,0.6522627990454023
Washington,11002.23,6819.13,5075,11,61.97952596882632,0.6235160350894476
Thresher,10289.75,6168.44,4686,8,59.9474234067883,0.5831385202874004
Modell,10153.39,5661.67,4724,9,55.76137624970576,0.5754107554120252
Good,9853.95,5555.01,4451,8,56.37343400362291,0.5584409555126245
Musial,9671.39,5759.06,4338,8,59.54738667347714,0.5480949540778309
Walrus,9605.4,5687.63,4033,8,59.2128386116143,0.5443551828536743
Colony,9469.94,5772.1,4589,9,60.951811732703696,0.5366784225865997
Fantastic,9417.3,5505.08,5114,9,58.45709492104956,0.5336952197188983
Sphinx,8640.62,5008.59,4966,9,57.96563209584497,0.4896793761914252
Token,8466.86,5027.89,5919,11,59.38317156537371,0.4798320864822351
Medalist,8241.2,5119.37,2770,5,62.119230209192835,0.4670435310277241
Atomic,8155.33,4625.09,4132,8,56.71248128524535,0.46217712467799943
Gauss,7186.78,4283.99,2785,5,59.60931042831421,0.40728766537875877
Colossal,7048.68,4067.7,2692,5,57.70867736937979,0.3994612915940031
Top Measure,6995.09,3998.85,4013,8,57.1665268066601,0.3964242505286515
Monarch,6611.04,3973.0,2861,5,60.09644473486774,0.37465945073114654
Pearl,6434.14,3661.67,4663,8,56.91001439197779,0.36463421161077525
Special,6285.29,3924.88,2296,4,62.44548779769907,0.35619861611576514
Shady Lake,6274.73,3536.94,2658,5,56.36800308539173,0.35560016204504086
Blue Medal,6046.49,3605.97,2520,5,59.63740947227234,0.34266539338006885
Urban,5965.12,3487.61,2848,5,58.466719864814124,0.338054010071846
Dollar,5843.75,3217.87,2856,5,55.0651550802139,0.33117575528360704
Discover,5602.63,3472.49,2710,5,61.97964170398544,0.3175110540020698
Choice,5552.98,3496.7400000000002,4122,8,62.97051312988703,0.3146972997774998
Mighty Good,5483.62,3373.71,2671,5,61.5234097183977,0.31076654463115183
Giant,5365.71,3184.62,2497,5,59.35132536048351,0.3040843742259342
National,5352.76,3378.62,2517,5,63.119213265679754,0.303350474584279
Jumbo,5325.75,3202.48,2259,5,60.13200018776698,0.3018197696173981
Best,5179.66,3207.16,2170,4,61.91834985307916,0.2935405882545092
Excel,4774.03,2617.5099999999998,2565,5,54.828101205899415,0.27055281129353553
Robust,4598.87,2669.92,2436,5,58.05600071321868,0.2606261810825449
Jeffers,4167.51,2303.7599999999998,2001,4,55.27905151997234,0.236180239042051
Radius,3853.0499999999997,2308.19,2054,4,59.90552938581125,0.21835922890190412
Quick,3380.22,2314.74,1082,2,68.47897474128902,0.1915631078545034
Framton,3201.23,1738.2,1177,2,54.29787925266226,0.1814194246993012
James Bay,2996.8399999999997,1704.74,1098,2,56.88458509630144,0.16983627815428873
Amigo,2899.81,1622.41,1012,2,55.948838027319034,0.16433741466163962
Applause,2862.52,1520.26,1114,2,53.10914858236798,0.16222412372439457
Gerolli,2778.7599999999998,1621.1200000000001,1142,2,58.33969108523227,0.15747729484524078
Jardon,2603.12,1596.98,2523,5,61.34868926518947,0.14752346217648996
Kiwi,2511.71,1497.09,1085,2,59.604412929836634,0.1423430941267831
Johnson,2497.63,1465.3700000000001,2181,4,58.670419557740736,0.1415451553658174
Ship Shape,2460.18,1382.19,1044,2,56.1824744530888,0.1394227969426523
Swell,2350.8199999999997,1419.8400000000001,1180,2,60.39764848010483,0.1332251703162882
Curlew,2238.84,1345.87,1078,2,60.1146129245502,0.12687906360798304
Tip Top,2171.83,1276.5800000000002,960,2,58.7790020397545,0.12308148716108598
Green Ribbon,2117.84,1296.9099999999999,964,2,61.23739281532126,0.12002177738093422
Akron,1943.02,1239.04,1110,2,63.768772323496414,0.11011441557752372
Queen,1788.51,1108.24,973,2,61.96442849075488,0.10135805776809138
ADJ,1711.1999999999998,1178.0,620,1,68.84057971014494,0.09697676191509019
Genteel,1654.95,943.74,1083,2,57.0252877730445,0.09378897389631752
Toucan,1633.3799999999999,893.13,1175,2,54.67986628953459,0.09256656345071881
Footnote,1375.04,788.3,1112,2,57.32924133116127,0.07792597399703462
Black Tie,1329.57,780.5600000000001,1161,2,58.70770249027883,0.07534910784212628
Prelude,1228.2,688.86,534,1,56.086956521739125,0.0696042887938954
Dual City,1209.34,816.78,1098,2,67.53931896737063,0.06853545889106778
Big City,1100.47,643.37,1127,2,58.46320208638127,0.06236560144033387
Symphony,841.6,473.40000000000003,526,1,56.25,0.047694975939539454
Toretti,623.15,345.05,515,1,55.371900826446286,0.03531502406930134
King,445.5,234.0,450,1,52.52525252525253,0.02524728110867969
